name,price,type,color,side_panel,external_volume,internal_35_bays
Raidmax Element,,Mini ITX Desktop,Black / Gray,,,2
Raidmax Element,,Mini ITX Desktop,Black / Blue,,,2
Raidmax Element,,Mini ITX Desktop,Black / Green,,,2
Raidmax Element,,Mini ITX Desktop,Black / Green,,,2
Raidmax Element,,Mini ITX Desktop,Black / Pink,,,2
Raidmax Element,,Mini ITX Desktop,Black / Pink,,,2
Raidmax Element,,Mini ITX Desktop,Black / Gray,,,2
Raidmax Troy,,Mini ITX Desktop,Black / Red,,,1
RAIJINTEK 0R20B00158,,Mini ITX Tower,Pink,Acrylic,13.4,2
RAIJINTEK Metis,,Mini ITX Tower,Black,Acrylic,13.4,1
RAIJINTEK Metis,,Mini ITX Tower,Black,,13.4,1
RAIJINTEK Metis,,Mini ITX Tower,White,,13.4,1
RAIJINTEK Metis,,Mini ITX Tower,Gold,,13.4,1
RAIJINTEK Metis,,Mini ITX Tower,Red,Acrylic,13.4,1
RAIJINTEK Metis,,Mini ITX Tower,Silver,Acrylic,13.4,1
RAIJINTEK Metis,,Mini ITX Tower,Blue,Acrylic,13.4,1
RAIJINTEK Metis,,Mini ITX Tower,Gold,Acrylic,13.4,1
RAIJINTEK Metis,,Mini ITX Tower,Red,,13.4,1
RAIJINTEK Metis,,Mini ITX Tower,Blue,,13.4,1
RAIJINTEK Metis,,Mini ITX Tower,Silver,,13.4,1
RAIJINTEK Metis,,Mini ITX Tower,Green,Acrylic,13.4,1
RAIJINTEK Metis,,Mini ITX Tower,Green,,13.4,1
RAIJINTEK Metis,,Mini ITX Tower,White,Acrylic,13.4,1
RAIJINTEK METIS EVO ALS,74.9,Mini ITX Desktop,Blue,,22.3,2
RAIJINTEK METIS EVO ALS,74.9,Mini ITX Desktop,Red,,22.3,2
RAIJINTEK METIS EVO ALS,,Mini ITX Desktop,Black,,22.3,2
RAIJINTEK METIS EVO ALS,,Mini ITX Desktop,Silver,,22.3,2
RAIJINTEK METIS EVO ALS,,Mini ITX Desktop,White,,22.3,2
RAIJINTEK METIS EVO ALS,,Mini ITX Desktop,Pink,,22.3,2
RAIJINTEK METIS EVO TGS,74.99,Mini ITX Desktop,White,Tempered Glass,22.3,2
RAIJINTEK METIS EVO TGS,74.99,Mini ITX Desktop,Silver,Tempered Glass,22.3,2
RAIJINTEK METIS EVO TGS,,Mini ITX Desktop,Red,Tempered Glass,22.3,2
RAIJINTEK METIS EVO TGS,,Mini ITX Desktop,Black,Tempered Glass,22.3,2
RAIJINTEK METIS EVO TGS,,Mini ITX Desktop,Blue,Tempered Glass,22.3,2
RAIJINTEK METIS EVO TGS,,Mini ITX Desktop,Pink,Tempered Glass,22.3,2
RAIJINTEK Metis Plus,80.53,Mini ITX Tower,Black,Acrylic,13.4,2
RAIJINTEK Metis Plus,80.53,Mini ITX Tower,White,Acrylic,13.4,2
RAIJINTEK Metis Plus,80.53,Mini ITX Tower,Silver,Acrylic,13.4,2
RAIJINTEK Metis Plus,80.53,Mini ITX Tower,Blue,Acrylic,13.4,2
RAIJINTEK Metis Plus,80.53,Mini ITX Tower,Red,Acrylic,13.4,2
RAIJINTEK Metis Plus,80.53,Mini ITX Tower,Gold,Acrylic,13.4,2
RAIJINTEK Metis Plus,,Mini ITX Tower,Green,Acrylic,13.4,2
RAIJINTEK OPHION,,Mini ITX Desktop,Black,Acrylic,,1
RAIJINTEK OPHION 7L,,Mini ITX Desktop,Black,Mesh,7.1,0
RAIJINTEK OPHION 7L,,Mini ITX Desktop,White,Mesh,7.1,0
RAIJINTEK OPHION ELITE TITAN,,Mini ITX Tower,Black,Mesh,24.9,3
RAIJINTEK OPHION ELITE WHITE,79.9,Mini ITX Tower,White,Mesh,24.9,3
RAIJINTEK OPHION EVO,155.44,Mini ITX Desktop,Black,Acrylic,,1
RAIJINTEK PAEAN MINI,69.9,Mini ITX Tower,Black,Tempered Glass,26,1
RAIJINTEK PAN Slim,189.9,Mini ITX Desktop,Black,,38.7,2
RAIJINTEK PAN Slim,189.9,Mini ITX Desktop,White,,38.7,2
RAIJINTEK PAN Slim,189.9,Mini ITX Desktop,Silver,,38.7,2
Razer Tomahawk Mini-ITX,137.99,Mini ITX Tower,Black / Green,Tinted Tempered Glass,,0
RIOTORO CR280,,Mini ITX Desktop,Black / Red,Acrylic,,1
Rosewill Legacy U2-B,,Mini ITX Tower,Black,Acrylic,15.4,2
Rosewill Legacy U2-B,,Mini ITX Tower,Black,,15.4,2
Rosewill Legacy U2-S,,Mini ITX Tower,Silver,,15.4,2
Rosewill Legacy U2-S,,Mini ITX Tower,Silver,Acrylic,15.4,2
Rosewill Legacy V3 Plus-B,90,Mini ITX Tower,Black,,10,1
Rosewill Legacy V3 Plus-B,,Mini ITX Tower,Silver,,10,1
Rosewill Legacy V6-B,,Mini ITX Tower,Black,,12.5,4
Rosewill Legacy V6-S,,Mini ITX Tower,Black / Silver,,12.5,4
Rosewill Legacy W1-B,,Mini ITX Tower,Black,,31.1,4
Rosewill Legacy W1-B-Window,,Mini ITX Tower,Black,Acrylic,31.1,4
Rosewill Legacy W1-S,,Mini ITX Tower,Silver,,31.1,4
Rosewill Legacy W1-S-Window,,Mini ITX Tower,Silver,Acrylic,31.1,4
Rosewill Neutron,,Mini ITX Desktop,Black,Acrylic,38.9,3
Rosewill RC-CIX-01,,Mini ITX Tower,Black,,8.6,1
Rosewill RC-CIX-01,,Mini ITX Tower,Black / Red,,8.6,1
Rosewill RS-MI-01,,Mini ITX Tower,Black,,9.4,1
SHARKOON CA-I,,Mini ITX Desktop,Black,,,1
SHARKOON CA-I,,Mini ITX Desktop,Silver,,,1
SHARKOON QB ONE,210.56,Mini ITX Desktop,Black,Mesh,14.9,2
SHARKOON Rebel C20 ITX,329.39,Mini ITX Desktop,Black,Mesh,29.5,1
SHARKOON Rebel C20 ITX RGB,424.71,Mini ITX Desktop,Black,Mesh,29.5,1
Silverstone CS01,147.99,Mini ITX Tower,Silver,,,2
Silverstone CS01,,Mini ITX Tower,Black,,,2
Silverstone CS01-HS,,Mini ITX Tower,Black,,,0
Silverstone CS01-HS,198.99,Mini ITX Tower,Silver,,,0
Silverstone CS280B,,Mini ITX Tower,Black / Silver,,,0
Silverstone DS380,,Mini ITX Tower,Black,,21.6,8
Silverstone DS380B,210.69,Mini ITX Tower,Black,,,0
Silverstone FT03-MINI,,Mini ITX Tower,Black,,17.5,1
Silverstone FT03-MINI,,Mini ITX Tower,Silver,,17.5,1
Silverstone FTZ01,199.13,Mini ITX Desktop,Black,,,1
Silverstone FTZ01,169.99,Mini ITX Desktop,Silver,,,1
Silverstone FTZ01-E,148.13,Mini ITX Desktop,Black,,,0
Silverstone FTZ01-E,,Mini ITX Desktop,Silver,,,0
Silverstone Lucid LD03,115,Mini ITX Tower,,Tinted Tempered Glass,25.2,1
Silverstone Lucid LD03-AF,132.99,Mini ITX Tower,Black,Tempered Glass,25.2,1
Silverstone RVZ01B,136.33,Mini ITX Desktop,Black,,,1
Silverstone RVZ03,145.87,Mini ITX Desktop,Black,,,0
Silverstone RVZ03,,Mini ITX Desktop,White,,,0
Silverstone RVZ03B-ARGB,158.63,Mini ITX Desktop,Black,,,0
Silverstone RVZ03W-ARGB,149.99,Mini ITX Desktop,White,,,0
Silverstone SG05-B,,Mini ITX Desktop,Black,,10.7,1
Silverstone SG05BB-450,,Mini ITX Desktop,Black,,10.7,1
Silverstone SG05BB-450-USB3,,Mini ITX Desktop,White,,10.7,1
Silverstone SG05B-USB3.0,,Mini ITX Desktop,Black,,10.7,1
Silverstone SG05-LITE,69.45,Mini ITX Desktop,Black,,10.7,1
Silverstone SG05-LITE,69.48,Mini ITX Desktop,White,,10.7,1
Silverstone SG05-LITE,,Mini ITX Desktop,Black,,10.7,1
Silverstone SG06-B,,Mini ITX Desktop,Black,,11.1,1
Silverstone SG06BB-450,,Mini ITX Desktop,Black,,11,1
Silverstone SG06BB-450-USB3.0,,Mini ITX Desktop,Black,,11.1,1
Silverstone SG06BB-LITE,,Mini ITX Desktop,Black,Acrylic,,1
Silverstone SG06BB-LITE,,Mini ITX Desktop,Silver,Acrylic,,1
Silverstone SG06B-USB3.0,,Mini ITX Desktop,Black,,11.1,1
Silverstone SG07-B,,Mini ITX Desktop,Black / Gray,,14.6,1
Silverstone SG07-B,,Mini ITX Desktop,Black / Gray,Acrylic,14.6,1
Silverstone SG07B-USB3.0,,Mini ITX Desktop,Black / Gray,,14.6,1
Silverstone SG08B,,Mini ITX Desktop,Black,,14.8,1
Silverstone SG08B-LITE,,Mini ITX Desktop,Black,,,1
Silverstone SG13,70.29,Mini ITX Tower,Black,,11.5,1
Silverstone SG13,69.98,Mini ITX Tower,White / Black,,11.5,1
Silverstone SG13,68.69,Mini ITX Tower,Black,,11.5,1
Silverstone SG13,,Mini ITX Tower,White / Black,,11.5,1
Silverstone SG13 V2,64.98,Mini ITX Tower,Black,,11.5,1
Silverstone SG13 V2,68.18,Mini ITX Tower,Pink,,11.5,1
Silverstone SG13 V2,,Mini ITX Tower,White / Black,,11.5,1
Silverstone SG13 V2,,Mini ITX Tower,Black,,11.5,1
Silverstone SG13 V2,,Mini ITX Tower,White / Black,,11.5,1
Silverstone SUGO 14,218.16,Mini ITX Desktop,Black / Yellow,,19.5,0
Silverstone SUGO 14,61.48,Mini ITX Desktop,White,,19.5,0
Silverstone SUGO 15,174.62,Mini ITX Desktop,Black,,19.1,0
Silverstone SUGO 15,147.99,Mini ITX Desktop,Silver,,19.1,0
Silverstone Sugo 16,85.99,Mini ITX Tower,Black,,13,1
Silverstone Sugo 16,87.99,Mini ITX Tower,White,,13,1
Spartex Osmi,,Mini ITX Tower,Black,,,1
Spartex Osmi,,Mini ITX Tower,White,,,1
SSUPD Meshlicious,,Mini ITX Tower,Black,Tempered Glass,14.7,0
SSUPD Meshlicious,,Mini ITX Tower,Black,Mesh,14.7,0
SSUPD Meshlicious,,Mini ITX Tower,White,Mesh,14.7,0
SSUPD Meshlicious,,Mini ITX Tower,White,Tempered Glass,14.7,0
SSUPD Meshlicious (PCIe 4.0),,Mini ITX Tower,White,Mesh,14.7,0
SSUPD Meshlicious (PCIe 4.0),,Mini ITX Tower,Black,Mesh,14.7,0
Streacom DA2,345.93,Mini ITX Desktop,Silver,,,3
Streacom DA2,,Mini ITX Desktop,Black,,,3
Streacom DA2 V2,,Mini ITX Desktop,Black,,17.5,0
Streacom DA2 V2,299.99,Mini ITX Desktop,Silver,,17.5,0
Sunbeam ACMI-P-HUVB,,Mini ITX Tower,Clear,Acrylic,10.3,1
Sunbeam ACMI-P-T,,Mini ITX Tower,Clear,Acrylic,,1
Supermicro SuperChassis 721TQ-350B2,272,Mini ITX Tower,Black,,14.1,0
teenage engineering Computer-1,99,Mini ITX Desktop,Orange / Silver,,10.4,0
Thermaltake Core P1,,Mini ITX Tower,Black,Tempered Glass,53.2,1
Thermaltake Core V1,49.99,Mini ITX Desktop,Black,,22.4,2
Thermaltake Core V1,49.99,Mini ITX Desktop,White,Acrylic,22.4,2
Thermaltake Core X1,,Mini ITX Tower,Black / Blue,Acrylic,,3
Thermaltake Element Q,,Mini ITX Desktop,Black,,9.4,1
Thermaltake Element Q,,Mini ITX Desktop,Black / Red,,9.4,1
Thermaltake SD101,,Mini ITX Tower,Black,Acrylic,8.2,1
Thermaltake Suppressor F1,,Mini ITX Desktop,Black,Acrylic,,2
Thermaltake The Tower 100,89.99,Mini ITX Tower,Black,Tempered Glass,32.7,2
Thermaltake The Tower 100,104.98,Mini ITX Tower,Green / Black,Tempered Glass,32.7,2
Thermaltake The Tower 100,106.69,Mini ITX Tower,Turquoise / Black,Tempered Glass,32.7,2
Thermaltake The Tower 100,,Mini ITX Tower,Gold,Tempered Glass,32.7,2
Thermaltake The Tower 100 Snow,99.99,Mini ITX Tower,White,Tempered Glass,32.7,2
Thermaltake The Tower 200,99.99,Mini ITX Tower,Black,Tempered Glass,45.1,2
Thermaltake The Tower 200,124.99,Mini ITX Tower,White,Tempered Glass,45.1,2
Thermaltake The Tower 200,129.99,Mini ITX Tower,Green,Tempered Glass,45.1,2
Thermaltake The Tower 200,129.99,Mini ITX Tower,Beige,Tempered Glass,45.1,2
Thermaltake The Tower 200,134.98,Mini ITX Tower,Turquoise,Tempered Glass,45.1,2
Thermaltake The Tower 200,,Mini ITX Tower,Pink,Tempered Glass,45.1,2
Thermaltake The Tower 200 Bumblebee,129.99,Mini ITX Tower,Yellow / Black,Tempered Glass,45.1,2
Vetroo K2,,Mini ITX Desktop,Black,Tempered Glass,,0
Xigmatek Eris,,Mini ITX Desktop,Black,,,1
Xigmatek Nebula,,Mini ITX Tower,Black,,22.3,2
Xigmatek Nebula,,Mini ITX Tower,White,,22.3,2
Xigmatek Octans,,Mini ITX Desktop,Black,,,2
Zalman M1,,Mini ITX Tower,Black,,,3
Zalman M2 Mini Silver,,Mini ITX Desktop,Silver / Black,Tempered Glass,11.6,0
ZZEW A1 Plus,109.99,Mini ITX Tower,Silver,Mesh,5.8,0
