name,price,size,color,rpm,airflow,noise_level,pwm
Antec True Quiet,,120,Blue,"6,001,000","21.2,35.3","8.9,19.89",FALSE
Antec True Quiet,9.99,120,Red,"6,001,000","21.2,35.3","8.9,19.89",FALSE
Antec True Quiet,,120,White,"6,001,000","21.2,35.3","8.9,19.89",FALSE
Antec True Quiet,,120,Black / Orange,"6,001,000","21.1,46.3","8.9,19.9",FALSE
Antec True Quiet,,120,Black / Orange,"6,001,000","21.1,46.3","8.9,19.9",FALSE
Antec True Quiet,,120,Black / Orange,"6,001,000","21.1,46.3","8.9,19.9",FALSE
Antec Two Cool,,120,Black,"6,001,200","21.3,42.6","17,23.7",FALSE
Antec Two Cool,,120,Black,"6,001,200","21.3,42.6","17,23.7",FALSE
Apevia 12S 10-Pack,28.99,120,Black,1350,57.67,24.7,FALSE
Apevia 12S 10-Pack,,120,Black / White,1350,57.67,24.7,FALSE
Apevia 12S-BK,,120,Black,1500,57.67,24.7,FALSE
Apevia 312L-DMC 3-Pack,,120,Black / Multicolor,1500,57.67,24.7,FALSE
Apevia 312S-BK,,120,Black,1500,57.67,24.7,FALSE
Apevia 412L-RGB Spectra 4-Pack,,120,Black,1350,57.67,24.7,FALSE
Apevia 512L-DMC 5-Pack,,120,Black / Multicolor,1500,57.67,24.7,FALSE
Apevia AF312L-SMC 3-Pack,,120,Black / Multicolor,1500,57.67,24.7,FALSE
Apevia AF512L-BL 5-Pack,,120,Blue,1500,57.67,24.7,FALSE
Apevia AF512L-RD 5-Pack,,120,Red,1500,57.67,24.7,FALSE
Apevia AF512L-SMC 5-Pack,,120,Black / Multicolor,1500,57.67,24.7,FALSE
Apevia APEVIA CO312L-GN Cosmos 120mm Green LED Ultra Silent Case Fan w/ 16 LEDs & Anti-Vibration Rubber Pads (3 Pack) 3-Pack,,120,,1350,"57.67,56.67",24.7,FALSE
Apevia APEVIA CO312L-PK Cosmos 120mm Pink LED Ultra Silent Case Fan w/ 16 LEDs & Anti-Vibration Rubber Pads (3 Pack) 3-Pack,14.99,120,,1350,"57.67,56.67",24.7,FALSE
Apevia APEVIA CO312L-RD Cosmos 120mm Red LED Ultra Silent Case Fan w/ 16 LEDs & Anti-Vibration Rubber Pads (3 Pack) 3-Pack,16.98,120,,1350,"57.67,56.67",24.7,FALSE
Apevia APEVIA CO312L-WH Cosmos 120mm White LED Ultra Silent Case Fan w/ 16 LEDs & Anti-Vibration Rubber Pads (3 Pack) 3-Pack,16.98,120,,1350,"57.67,56.67",24.7,FALSE
Apevia APEVIA CO512L-PK Cosmos 120mm Pink LED Ultra Silent Case Fan w/ 16 LEDs & Anti-Vibration Rubber Pads (5 Pack) 5-Pack,19.98,120,,1350,"57.67,56.67",24.7,FALSE
Apevia Arcane RGB 4-Pack,,120,Black / White,1350,57.67,24.7,FALSE
Apevia Arcane RGB 4-Pack,,120,Black / White,1350,57.67,24.7,FALSE
Apevia Arcane RGB 6-Pack,,120,Black / White,1350,57.67,24.7,FALSE
Apevia C,8.99,120,Black / Red,1500,57.67,24.7,FALSE
Apevia C,9.99,120,Black / White,1500,57.67,24.7,FALSE
Apevia C,,120,Black / Blue,1500,57.67,24.7,FALSE
Apevia C,9.99,120,Black / Green,1500,57.67,24.7,FALSE
Apevia C,,120,Black / Pink,1500,57.67,24.7,FALSE
Apevia C 3-Pack,16.95,120,Black / White,1500,57.67,24.7,FALSE
Apevia C 3-Pack,17.95,120,Black / Green,1500,57.67,24.7,FALSE
Apevia C 3-Pack,17.95,120,Black / Red,1500,57.67,24.7,FALSE
Apevia C 3-Pack,,120,Black / Pink,1500,57.67,24.7,FALSE
Apevia C 3-Pack,,120,Black / Multicolor,1500,57.67,24.7,FALSE
Apevia C 3-Pack,,120,Black / Blue,1500,57.67,24.7,FALSE
Apevia C 5-Pack,26.95,120,Black / White,1500,57.67,24.7,FALSE
Apevia C 5-Pack,27.95,120,Black / Red,1500,57.67,24.7,FALSE
Apevia C 5-Pack,27.95,120,Black / Green,1500,57.67,24.7,FALSE
Apevia C 5-Pack,,120,Black / Blue,1500,57.67,24.7,FALSE
Apevia C 5-Pack,,120,Black / Pink,1500,57.67,24.7,FALSE
Apevia CF12S,,120,Clear,1700,63.85,29.67,FALSE
Apevia CF12S-BK,7.99,120,Black,1500,57.67,24.7,FALSE
Apevia CF12SL-4C,,120,Clear,1700,63.85,29.67,FALSE
Apevia CF12SL-B4C,,120,Clear,1500,50.28,21.1,FALSE
Apevia CF12SL-BBL,,120,Blue,1500,50.28,21.1,FALSE
Apevia CF12SL-BGN,,120,Green,1500,50.28,21.1,FALSE
Apevia CF12SL-BRD,,120,Red,1500,50.28,21.1,FALSE
Apevia CF12SL-SBL,,120,Blue,1500,50.28,21.1,FALSE
Apevia CF12SL-SGN,,120,Green,1500,50.28,21.1,FALSE
Apevia CF12SL-SOG,,120,Black / Orange,1500,50.28,21.1,FALSE
Apevia CF12SL-SRD,9.99,120,Red,1500,50.28,21.1,FALSE
Apevia CF12SL-T4C,,120,Black,1500,50.28,21.1,FALSE
Apevia CF12SL-TBL,,120,Black,1500,50.28,21.1,FALSE
Apevia CF12SL-TGN,,120,Black,1500,50.28,21.1,FALSE
Apevia CF12SL-TRD,,120,Black,1500,50.28,21.1,FALSE
Apevia CF12SL-UBL,,120,Blue,1500,57.67,24.7,FALSE
Apevia CF12SL-UGN,7.99,120,Green,1700,63.85,29.67,FALSE
Apevia CF12SL-URED,,120,Red,1500,57.67,24.7,FALSE
Apevia CF12S-UBL,,120,Blue,1700,63.85,29.67,FALSE
Apevia CF312S-BK,,120,Black,1500,57.67,24.7,FALSE
Apevia CF312SL-UBL 3-Pack,,120,Blue,1700,63.85,29.67,FALSE
Apevia CF312SL-UGN 3-Pack,14.95,120,Green,1700,,29.67,FALSE
Apevia CF312SL-URD 3-Pack,,120,Red,1700,,29.67,FALSE
Apevia Cosmos 3-Pack,16.98,120,,1350,"57.67,56.67",24.7,FALSE
Apevia Cosmos 3-Pack,,120,Orange / Black,1350,57.67,24.7,FALSE
Apevia Cosmos 5-Pack,,120,Orange / Black,1350,57.67,24.7,FALSE
Apevia Electro 6-Pack,42.99,120,White / Black,1350,57.67,24.7,FALSE
Apevia FrostBlade 4-Pack,,120,Black,1350,57.67,24.7,FALSE
Apevia FrostBlade 4-Pack,,120,Black,1350,57.67,24.7,FALSE
Apevia FrostBlade 6-Pack,,120,Black,1350,57.67,24.7,FALSE
Apevia Lunar Pro 4-Pack,29.99,120,White / Black,1350,57.67,24.7,FALSE
Apevia Lunar Pro 4-Pack,35.99,120,White / Black,1350,57.67,24.7,FALSE
Apevia Phoenix 4-Pack,,120,White / Black,1350,57.67,24.7,FALSE
Apevia Phoenix 4-Pack,,120,White / Black,1350,57.67,24.7,FALSE
Apevia Phoenix 6-Pack,,120,White / Black,1350,57.67,24.7,FALSE
Apevia S,,120,Black / Pink,1500,57.67,24.7,TRUE
Apevia S 2-Pack,,120,Black / Orange,1500,50.28,21.1,FALSE
Apevia S 3-Pack,17.95,120,Black / Red,1500,57.67,24.7,FALSE
Apevia S 3-Pack,,120,Black / Orange,1500,50.28,21.1,FALSE
Apevia S 5-Pack,,120,Black / Orange,1500,50.28,21.1,FALSE
Apevia Spectra 6-Pack,,120,Black,1350,57.67,24.7,TRUE
Apevia Twilight 4-Pack,,120,White / Black,1350,57.67,24.7,FALSE
Apevia Twilight 4-Pack,,120,White / Black,1350,57.67,24.7,FALSE
Apevia Twilight 6-Pack,43.99,120,White / Black,1350,57.67,24.7,FALSE
Apevia U 2-Pack,,120,Orange,1700,63.85,29.67,FALSE
Apevia U 3-Pack,,120,Orange,1700,63.85,29.67,FALSE
Apevia U 5-Pack,,120,Orange,1700,63.85,29.67,FALSE
APNX FP1,10.9,120,Black,"5,001,600",74.6,"15.3,33.2",TRUE
APNX FP1,10.9,120,White,"5,001,600",74.6,"15.3,33.2",TRUE
APNX FP2,19.89,120,Black,"5,001,800",83.87,"15.3,34.8",TRUE
APNX FP2,19.89,120,White / Black,"5,001,800",83.87,"15.3,34.8",TRUE
ARCTIC BioniX F120,13.2,120,Black / White,"2,001,800",69,24.4,TRUE
ARCTIC BioniX F120,,120,Black / Red,"2,001,800",69,24.4,TRUE
ARCTIC BioniX F120,16.37,120,Black / Yellow,"2,001,800",69,24.4,TRUE
ARCTIC BioniX F120,16.16,120,Black / Green,"2,001,800",69,24.4,TRUE
ARCTIC BioniX P120,13.72,120,White / Black,"2,002,100",67.56,,TRUE
ARCTIC BioniX P120,14.54,120,Red / Black,"2,002,100",67.56,,TRUE
ARCTIC BioniX P120,18.51,120,Green / Black,"2,002,100",67.56,,TRUE
ARCTIC BioniX P120,,120,Yellow / Black,"2,002,100",67.56,,TRUE
ARCTIC BioniX P120 A-RGB,25.18,120,Black,"4,002,300",48,30,TRUE
ARCTIC BioniX P120 A-RGB 3-Pack,,120,Black,"4,002,300",48,30,TRUE
ARCTIC F,14.99,120,Black,"2,301,350",53,,TRUE
ARCTIC F Silent,9.74,120,White / Black,800,37,,FALSE
ARCTIC F12,7.07,120,Black,1350,53,22.5,FALSE
ARCTIC F12,,120,White / Black,1300,74,,FALSE
ARCTIC F12,,120,White / Black,1350,53,22.5,TRUE
ARCTIC F12 5-Pack,22.95,120,Black,1350,53,22.5,FALSE
ARCTIC F12 CO,12.24,120,Black,"6,001,350",74,,TRUE
ARCTIC F12 Pro,,120,White / Black,1500,54,,FALSE
ARCTIC F12 Pro,,120,White / Black,1350,57,,FALSE
ARCTIC F12 Pro,,120,White / Black,1500,57,,TRUE
ARCTIC F12 Pro,,120,White / Black,1500,54,,FALSE
ARCTIC F12 PST,9.99,120,Black,"2,301,350",53,22.5,TRUE
ARCTIC F12 PST,10.99,120,White,"2,301,350",53,22.5,TRUE
ARCTIC F12 PST,10.44,120,Black / White,1350,53,,TRUE
ARCTIC F12 PST 3-Pack,29.04,120,Black,"2,301,350",53,22.5,TRUE
ARCTIC F12 PST 4-Pack,,120,Black,"2,301,350",53,22.5,TRUE
ARCTIC F12 PST 5-Pack,29.31,120,Black,"2,301,350",53,22.5,TRUE
ARCTIC F12 PST 5-Pack,,120,White / Black,"3,001,350",53,,TRUE
